                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3184,                 2.0013,                 1.4348,                 0.6642,                0.50132,                0.54486,                0.25217,                 1.7928,                 1.7219,                 1.7501,             0.00023729,             0.00023729,             0.00023729
                      2,                 1.2307,                 1.4494,                 1.3677,                0.70171,                0.51112,                0.54748,                0.26279,                 1.7562,                 1.6224,                  1.718,             0.00047059,             0.00047059,             0.00047059
                      3,                 1.2264,                 1.4231,                 1.3667,                0.68649,                0.52637,                 0.5698,                0.27993,                 1.7023,                 1.5079,                 1.7236,             0.00069917,             0.00069917,             0.00069917
                      4,                 1.1999,                 1.3491,                 1.3485,                0.67127,                0.57442,                0.60575,                0.31159,                 1.7158,                  1.412,                 1.7432,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1768,                 1.2947,                  1.329,                0.75524,                0.54347,                0.61834,                0.32217,                 1.6357,                 1.3551,                 1.6554,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1495,                 1.2331,                 1.3119,                0.75112,                0.58094,                0.64442,                0.33146,                 1.6705,                 1.3118,                 1.6923,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1246,                 1.1928,                 1.2995,                0.80412,                0.57266,                0.65367,                 0.3392,                 1.6597,                 1.2787,                  1.692,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1171,                 1.1523,                 1.2909,                0.78206,                0.63164,                0.68343,                0.35083,                 1.6657,                 1.2394,                 1.6649,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0989,                 1.1106,                 1.2787,                0.77443,                0.61365,                 0.6878,                0.35722,                 1.5964,                 1.1585,                 1.6476,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0663,                 1.0648,                 1.2556,                0.79305,                  0.642,                0.70063,                  0.378,                 1.5963,                 1.1005,                 1.6263,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0567,                 1.0413,                 1.2497,                0.78266,                0.61438,                0.68936,                0.37361,                 1.5017,                 1.1133,                  1.561,             0.00065038,             0.00065038,             0.00065038
                     12,                  1.049,                 1.0236,                 1.2407,                0.84187,                0.62668,                0.70626,                 0.3994,                 1.5064,                 1.0404,                 1.5658,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.0259,                0.97986,                 1.2275,                0.82946,                0.64502,                0.71999,                0.41991,                 1.4659,                 1.0113,                 1.4999,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0304,                0.96619,                 1.2247,                0.81464,                0.64865,                0.71967,                0.40927,                 1.4594,                0.98793,                 1.5085,             0.00062918,             0.00062918,             0.00062918
                     15,                0.99703,                0.94242,                 1.2086,                0.81528,                0.65753,                0.72597,                0.43167,                 1.4249,                 1.0019,                  1.529,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.0085,                0.93715,                 1.2111,                0.81563,                0.67519,                0.74146,                0.42749,                 1.4255,                 0.9634,                 1.4915,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.0011,                 0.9098,                 1.2003,                0.83139,                0.65752,                0.73012,                0.43394,                 1.4183,                 1.0012,                  1.493,             0.00060797,             0.00060797,             0.00060797
                     18,                0.97157,                0.88683,                 1.1908,                  0.842,                0.66936,                0.74415,                0.44894,                 1.3613,                 0.9538,                 1.4708,              0.0006009,              0.0006009,              0.0006009
                     19,                0.96966,                0.87553,                 1.1871,                0.84483,                0.70611,                0.77069,                0.44919,                 1.4189,                0.91892,                 1.4789,             0.00059383,             0.00059383,             0.00059383
                     20,                0.95127,                0.85593,                 1.1759,                0.84703,                 0.6975,                0.76253,                0.46287,                 1.3194,                0.90502,                 1.4219,             0.00058677,             0.00058677,             0.00058677
                     21,                0.95849,                0.85133,                 1.1768,                0.85989,                0.68172,                0.76402,                0.45654,                 1.3562,                0.89136,                 1.4338,              0.0005797,              0.0005797,              0.0005797
                     22,                0.94649,                0.83679,                 1.1671,                0.86649,                0.68344,                0.76182,                0.45696,                 1.3171,                0.91675,                 1.4118,             0.00057263,             0.00057263,             0.00057263
                     23,                0.93488,                0.81125,                 1.1602,                0.86163,                0.69952,                0.78807,                0.48219,                 1.3378,                0.85306,                 1.4093,             0.00056556,             0.00056556,             0.00056556
                     24,                0.93146,                0.80692,                 1.1532,                0.88191,                0.69427,                0.77904,                0.48919,                 1.2963,                0.83193,                 1.3913,             0.00055849,             0.00055849,             0.00055849
